id,player,salaries.2018,salaries.2019,salaries.2020,salaries.2021,salaries.2022,salaries.2023,salaries.2024,salaries.2025
1,Francisco Lindor,623200.0,10850000.0,17500000.0,22300000.0,34100000.0,34100000.0,34100000.0,34100000.0
2,Trea Turner,577200.0,3725000.0,7450000.0,13000000.0,21000000.0,27272727.0,27272727.0,27272727.0
3,Manny Machado,16000000.0,12000000.0,32000000.0,32000000.0,32000000.0,17090909.0,17090909.0,17090909.0
4,CÃ©sar HernÃ¡ndez,5100000.0,7750000.0,6250000.0,5000000.0,4000000.0,100000.0,,
5,Freddie Freeman,21000000.0,21000000.0,22000000.0,22000000.0,27000000.0,27000000.0,27000000.0,27000000.0
6,Whit Merrifield,569500.0,1000000.0,5000000.0,6750000.0,7000000.0,6750000.0,7000000.0,1000000.0
7,Alex Bregman,599000.0,640500.0,13000000.0,13000000.0,13000000.0,30500000.0,30500000.0,36666667.0
8,Nick Markakis,11000000.0,4000000.0,2000000.0,,,,,
9,Giancarlo Stanton,25000000.0,26000000.0,26000000.0,29000000.0,29000000.0,32000000.0,32000000.0,32000000.0
10,Marcus Semien,3125000.0,5900000.0,13000000.0,18000000.0,25000000.0,26000000.0,26000000.0,26000000.0
11,JosÃ© RamÃ­rez,2828600.0,4150000.0,6650000.0,9400000.0,22000000.0,14000000.0,17000000.0,19000000.0
12,Charlie Blackmon,12500000.0,21500000.0,21500000.0,21500000.0,21000000.0,15000000.0,13000000.0,
13,Bryce Harper,21625000.0,11538462.0,27538461.0,27538462.0,27538461.0,27538462.0,27538461.0,27538462.0
14,Paul Goldschmidt,11100000.0,14500000.0,26000000.0,26000000.0,26000000.0,26000000.0,26000000.0,12500000.0
15,Ozzie Albies,555000.0,575000.0,1000000.0,3000000.0,5000000.0,7000000.0,7000000.0,7000000.0
16,Mitch Haniger,,590100.0,3010000.0,3010000.0,7750000.0,8000000.0,20000000.0,15500000.0
17,JosÃ© Peraza,570000.0,2775000.0,3000000.0,570500.0,100000.0,,,
18,Andrew McCutchen,14750000.0,10000000.0,17000000.0,20000000.0,3000000.0,5000000.0,5000000.0,5000000.0
19,Jed Lowrie,6000000.0,10000000.0,10000000.0,1500000.0,850000.0,,,
20,Carlos Santana,18333333.0,20333333.0,20833334.0,500000.0,10500000.0,6750000.0,5250000.0,12000000.0
21,Nick Castellanos,6050000.0,9950000.0,16000000.0,14000000.0,20000000.0,20000000.0,20000000.0,20000000.0
22,Matt Carpenter,13750000.0,14750000.0,18500000.0,18500000.0,2000000.0,6500000.0,5500000.0,
23,Eric Hosmer,21000000.0,21000000.0,21000000.0,21000000.0,21000000.0,12280000.0,13000000.0,13000000.0
